Origin	Destination	Trip Duration
10	13	20.3
10	14	24.39
10	15	48.1
10	16	27.3
10	17	49.32
10	18	38.43
10	19	22.07
10	20	20.76
10	21	25.4
10	22	25.4
10	23	32.24
10	24	32.38
10	25	40.33
10	26	48.55
10	27	44.38
10	28	77.55
10	29	29.2
10	30	19.63
10	31	27.94
10	32	40.47
10	33	56.38
10	34	35.7
10	35	37.74
10	36	33.82
10	37	31.09
10	38	32.68
10	39	30.32
10	40	29.65
10	41	36.77
10	42	30.67
10	43	34.78
10	44	33.37
10	45	36.87
10	46	43.34
10	47	53.92
10	48	48.55
10	49	54.51
10	50	81.81
10	51	58.44
10	52	69.72
10	53	75.33
10	54	88.13
10	55	65.06
10	56	58.76
10	57	54.02
10	58	37.35
10	59	29.71
10	60	34.7
10	61	44.77
10	62	30.62
10	63	32.95
10	64	25.63
11	12	24.78
11	13	26.61
11	14	30.36
11	15	54.08
11	16	33.68
11	17	55.7
11	18	44.81
11	19	28.45
11	20	31.06
11	21	35.71
11	22	34.47
11	23	41.31
11	24	41.45
11	25	49.4
11	26	58.52
11	27	54.35
11	28	86.63
11	29	39.5
11	30	29.94
11	31	38.25
11	32	50.78
11	33	66.68
11	34	46.01
11	35	48.05
11	36	44.13
11	37	41.39
11	38	42.98
11	39	40.62
11	40	39.96
11	41	47.07
11	42	40.98
11	43	45.08
11	44	43.68
11	45	47.18
11	46	53.64
11	47	64.22
11	48	58.86
11	49	64.82
11	50	92.11
11	51	68.75
11	52	80.02
11	53	85.64
11	54	98.43
11	55	74.14
11	56	67.83
11	57	63.09
11	58	46.42
11	59	38.78
11	60	43.77
11	61	53.84
11	62	39.69
11	63	42.02
11	64	34.7
12	13	18.59
12	14	25.32
12	15	49.04
12	16	25.59
12	17	47.61
12	18	36.72
12	19	20.31
12	20	20.69
12	21	25.7
12	22	28.21
12	23	35.05
12	24	32.72
12	25	43.14
12	26	48.85
12	27	44.68
12	28	78.15
12	29	29.13
12	30	19.57
12	31	27.88
12	32	40.41
12	33	56.31
12	34	35.64
12	35	38.04
12	36	33.76
12	37	31.39
12	38	32.61
12	39	30.61
12	40	29.95
12	41	37.07
12	42	30.97
12	43	35.07
12	44	33.31
12	45	37.17
12	46	43.27
12	47	53.85
12	48	48.49
12	49	54.45
12	50	82.11
12	51	58.74
12	52	70.02
12	53	75.63
12	54	88.43
12	55	65.66
12	56	61.57
12	57	56.83
12	58	40.16
12	59	32.62
12	60	40.49
12	61	48.42
12	62	36.41
12	63	38.74
12	64	31.42
13	14	20.2
13	15	44.43
13	16	20.27
13	17	42.3
13	18	31.4
13	19	17.52
13	20	23.79
13	21	30.14
13	22	32.65
13	23	39.49
13	24	37.16
13	25	47.58
13	26	53.29
13	27	49.12
13	28	82.6
13	29	32.23
13	30	22.66
13	31	30.97
13	32	43.5
13	33	59.41
13	34	38.73
13	35	41.26
13	36	36.85
13	37	35.83
13	38	35.71
13	39	35.06
13	40	34.39
13	41	41.51
13	42	35.41
13	43	39.28
13	44	36.4
13	45	40.54
13	46	46.36
13	47	56.94
13	48	51.58
13	49	57.54
13	50	85.48
13	51	62.11
13	52	73.39
13	53	79.0
13	54	91.8
13	55	70.11
13	56	66.01
13	57	61.27
13	58	44.6
13	59	37.06
13	60	43.98
13	61	52.86
13	62	39.9
13	63	42.24
13	64	34.91
14	15	37.14
14	16	15.26
14	17	41.16
14	18	31.94
14	19	25.27
14	20	31.61
14	21	36.25
14	22	36.85
14	23	43.69
14	24	43.27
14	25	51.78
14	26	59.4
14	27	55.23
14	28	88.7
14	29	40.05
14	30	30.48
14	31	38.79
14	32	51.32
14	33	67.23
14	34	46.55
14	35	48.59
14	36	44.67
14	37	41.94
14	38	43.53
14	39	41.16
14	40	40.5
14	41	47.62
14	42	41.52
14	43	45.62
14	44	44.22
14	45	47.72
14	46	54.19
14	47	64.76
14	48	59.4
14	49	65.36
14	50	92.66
14	51	69.29
14	52	80.57
14	53	86.18
14	54	98.98
14	55	76.21
14	56	70.21
14	57	65.47
14	58	48.8
14	59	41.26
14	60	47.73
14	61	57.06
14	62	43.65
14	63	45.99
14	64	38.66
15	16	42.65
15	17	34.66
15	18	55.63
15	19	52.71
15	20	55.32
15	21	59.97
15	22	60.57
15	23	67.4
15	24	66.99
15	25	75.5
15	26	83.12
15	27	78.95
15	28	112.42
15	29	63.76
15	30	54.2
15	31	62.51
15	32	75.04
15	33	90.94
15	34	70.27
15	35	72.31
15	36	68.39
15	37	65.65
15	38	67.24
15	39	64.88
15	40	64.22
15	41	71.33
15	42	65.24
15	43	69.34
15	44	67.94
15	45	71.44
15	46	77.9
15	47	88.48
15	48	83.12
15	49	89.08
15	50	116.37
15	51	93.01
15	52	104.28
