Origin	Destination	Trip Duration
15	50	121.74
15	51	94.35
15	52	112.31
15	53	113.07
15	54	106.38
15	55	105.25
15	56	74.49
15	57	101.29
15	58	86.26
15	59	69.86
15	60	64.98
15	61	87.63
15	62	69.29
15	63	65.85
15	64	94.3
16	17	31.48
16	18	23.65
16	19	45.87
16	20	52.93
16	21	65.41
16	22	61.09
16	23	70.44
16	24	74.12
16	25	82.85
16	26	84.88
16	27	81.53
16	28	102.76
16	29	67.69
16	30	49.4
16	31	51.58
16	32	77.66
16	33	89.57
16	34	66.79
16	35	82.26
16	36	79.62
16	37	70.56
16	38	56.97
16	39	68.26
16	40	76.87
16	41	83.81
16	42	74.62
16	43	79.38
16	44	77.46
16	45	80.89
16	46	87.15
16	47	94.67
16	48	87.98
16	49	97.79
16	50	116.51
16	51	84.11
16	52	99.08
16	53	97.83
16	54	106.14
16	55	91.4
16	56	59.8
16	57	93.37
16	58	80.56
16	59	64.17
16	60	58.28
16	61	73.93
16	62	52.6
16	63	56.16
16	64	73.46
17	18	42.35
17	19	59.57
17	20	77.64
17	21	74.11
17	22	69.8
17	23	78.15
17	24	81.82
17	25	85.55
17	26	94.58
17	27	90.23
17	28	115.46
17	29	89.39
17	30	73.1
17	31	74.28
17	32	92.36
17	33	103.27
17	34	90.5
17	35	99.97
17	36	90.32
17	37	87.26
17	38	79.67
17	39	75.97
17	40	88.57
17	41	90.51
17	42	96.32
17	43	92.08
17	44	87.16
17	45	85.6
17	46	97.85
17	47	105.37
17	48	92.68
17	49	108.49
17	50	127.21
17	51	95.82
17	52	109.78
17	53	115.54
17	54	96.85
17	55	103.11
17	56	76.5
17	57	103.07
17	58	79.27
17	59	71.87
17	60	68.99
17	61	84.64
17	62	71.3
17	63	68.86
17	64	85.17
18	19	38.43
18	20	54.93
18	21	63.67
18	22	74.05
18	23	73.35
18	24	73.51
18	25	80.2
18	26	86.28
18	27	81.93
18	28	100.16
18	29	70.73
18	30	50.43
18	31	56.62
18	32	73.7
18	33	91.61
18	34	78.83
18	35	75.2
18	36	78.65
18	37	72.5
18	38	63.01
18	39	66.36
18	40	74.07
18	41	80.21
18	42	82.65
18	43	76.42
18	44	74.5
18	45	71.93
18	46	83.18
18	47	96.7
18	48	79.02
18	49	99.83
18	50	118.54
18	51	85.15
18	52	99.12
18	53	109.87
18	54	103.54
18	55	92.8
18	56	79.06
18	57	100.62
18	58	79.82
18	59	72.43
18	60	65.54
18	61	82.19
18	62	68.86
18	63	65.42
18	64	72.72
19	20	40.29
19	21	52.04
19	22	55.72
19	23	59.07
19	24	64.88
19	25	67.56
19	26	74.64
19	27	71.29
19	28	93.52
19	29	58.09
19	30	36.8
19	31	38.98
19	32	58.06
19	33	89.97
19	34	61.2
19	35	74.56
19	36	71.02
19	37	61.86
19	38	46.37
19	39	53.73
19	40	60.44
19	41	69.57
19	42	65.02
19	43	66.78
19	44	64.86
19	45	62.3
19	46	68.55
19	47	85.07
19	48	69.38
19	49	89.19
19	50	108.91
19	51	72.52
19	52	85.48
19	53	92.24
19	54	85.91
19	55	82.17
19	56	54.43
19	57	85.99
19	58	62.19
19	59	56.8
19	60	51.91
19	61	74.56
19	62	49.23
19	63	49.79
19	64	71.09
20	21	53.84
20	22	54.73
20	23	65.02
20	24	68.19
20	25	71.87
20	26	72.96
20	27	70.61
20	28	96.84
20	29	40.22
20	30	23.93
20	31	26.11
20	32	40.19
20	33	64.1
20	34	46.33
20	35	40.88
20	36	38.15
20	37	37.17
20	38	33.5
20	39	56.04
20	40	68.75
20	41	71.89
20	42	65.15
20	43	77.91
20	44	57.99
20	45	73.42
20	46	79.68
20	47	87.2
20	48	80.51
20	49	82.32
20	50	102.04
20	51	74.64
20	52	87.61
20	53	94.36
20	54	89.22
20	55	89.48
20	56	62.86
20	57	97.42
20	58	70.62
20	59	65.22
20	60	60.34
20	61	74.99
20	62	57.65
20	63	56.21
20	64	47.52
21	22	19.03
21	23	25.23
21	24	20.87
21	25	33.19
21	26	28.1
21	27	26.75
