,Orgin,Destination,Trip Duration
1165,23,34,43.04
1166,23,35,40.11
1167,23,36,38.41
1168,23,37,29.3
1169,23,38,43.29
1170,23,39,26.78
1171,23,40,24.19
1172,23,41,25.45
1173,23,42,27.69
1174,23,43,29.06
1175,23,44,33.96
1176,23,45,33.05
1177,23,46,41.49
1178,23,47,52.88
1179,23,48,45.05
1180,23,49,53.48
1181,23,50,77.99
1182,23,51,50.65
1183,23,52,65.9
1184,23,53,71.51
1185,23,54,70.12
1186,23,55,44.37
1187,23,56,51.85
1188,23,57,47.1
1189,23,58,30.43
1190,23,59,22.9
1191,23,60,42.1
1192,23,61,38.7
1193,23,62,33.27
1194,23,63,49.13
1195,23,64,41.8
1196,24,25,22.24
1197,24,26,27.21
1198,24,27,23.04
1199,24,28,56.32
1200,24,29,43.11
1201,24,30,33.55
1202,24,31,37.97
1203,24,32,49.55
1204,24,33,65.45
1205,24,34,39.33
1206,24,35,36.4
1207,24,36,34.7
1208,24,37,25.59
1209,24,38,39.59
1210,24,39,22.79
1211,24,40,20.2
1212,24,41,21.46
1213,24,42,23.7
1214,24,43,25.07
1215,24,44,30.25
1216,24,45,29.06
1217,24,46,37.5
1218,24,47,48.89
1219,24,48,41.06
1220,24,49,49.49
1221,24,50,74.0
1222,24,51,46.66
1223,24,52,61.91
1224,24,53,67.52
1225,24,54,69.59
1226,24,55,43.83
1227,24,56,51.98
1228,24,57,47.24
1229,24,58,30.57
1230,24,59,23.03
1231,24,60,42.24
1232,24,61,38.83
1233,24,62,33.4
1234,24,63,49.26
1235,24,64,41.94
1236,25,26,36.67
1237,25,27,25.2
1238,25,28,55.34
1239,25,29,53.85
1240,25,30,44.28
1241,25,31,49.33
1242,25,32,60.9
1243,25,33,76.8
1244,25,34,50.69
1245,25,35,47.76
1246,25,36,46.06
1247,25,37,36.95
1248,25,38,50.94
1249,25,39,34.2
1250,25,40,31.61
1251,25,41,32.87
1252,25,42,35.11
1253,25,43,36.48
1254,25,44,41.61
1255,25,45,40.47
1256,25,46,48.91
1257,25,47,60.3
1258,25,48,52.47
1259,25,49,60.9
1260,25,50,85.41
1261,25,51,58.07
1262,25,52,66.51
1263,25,53,78.05
1264,25,54,68.61
1265,25,55,42.85
1266,25,56,59.94
1267,25,57,55.2
1268,25,58,38.53
1269,25,59,30.99
1270,25,60,50.2
1271,25,61,46.79
1272,25,62,41.36
1273,25,63,57.22
1274,25,64,49.89
1275,26,27,29.37
1276,26,28,70.75
1277,26,29,59.24
1278,26,30,49.68
1279,26,31,52.84
1280,26,32,64.42
1281,26,33,80.32
1282,26,34,54.2
1283,26,35,52.53
1284,26,36,49.58
1285,26,37,40.7
1286,26,38,54.46
1287,26,39,37.5
1288,26,40,34.91
1289,26,41,36.17
1290,26,42,38.41
1291,26,43,39.78
1292,26,44,45.12
1293,26,45,43.77
1294,26,46,52.21
1295,26,47,63.6
1296,26,48,55.77
1297,26,49,64.2
1298,26,50,88.71
1299,26,51,61.37
1300,26,52,76.62
1301,26,53,82.23
1302,26,54,84.02
1303,26,55,58.26
1304,26,56,69.06
1305,26,57,64.31
1306,26,58,47.65
1307,26,59,40.11
1308,26,60,59.32
1309,26,61,55.91
1310,26,62,50.48
1311,26,63,66.34
1312,26,64,59.01
1313,27,28,59.21
1314,27,29,55.07
1315,27,30,45.51
1316,27,31,48.67
1317,27,32,60.25
1318,27,33,76.15
1319,27,34,50.03
1320,27,35,48.37
1321,27,36,45.41
1322,27,37,36.53
1323,27,38,50.29
1324,27,39,33.33
1325,27,40,30.74
1326,27,41,32.0
1327,27,42,34.24
1328,27,43,35.61
1329,27,44,40.96
1330,27,45,39.6
1331,27,46,48.05
1332,27,47,59.43
1333,27,48,51.6
1334,27,49,60.03
1335,27,50,84.54
1336,27,51,57.2
1337,27,52,70.38
1338,27,53,78.06
1339,27,54,72.48
1340,27,55,46.72
1341,27,56,64.89
1342,27,57,60.15
1343,27,58,43.48
1344,27,59,35.94
1345,27,60,55.15
1346,27,61,51.74
1347,27,62,46.31
1348,27,63,62.17
1349,27,64,54.84
1350,28,29,88.54
1351,28,30,78.98
1352,28,31,83.4
1353,28,32,94.98
1354,28,33,110.88
1355,28,34,84.76
1356,28,35,81.84
1357,28,36,80.14
